Code,BOROUGH,Area,Popdensity,Population,Populationper,DEM,DistancetoLondon,EconomicallyInactivePercent,IMDAveragescore ,IMD Average rank ,Income Average rank,Income Scale,Employment Average rank,Employment Scale,"Education, Skills and Training Average rank",Health Deprivation and Disability Average rank,Crime - Average rank,Barriers to Housing and Services - Average rank,Living Environment - Average rank
E09000021,Kingston upon Thames,37.26,4.3249,"168,000",1.91%,32.83,19.51,17,11.38,9412.3,11391.6,13293,8638.4,5718.8,7002.7,5470.8,11848.6,20641.3,20231.1
E09000022,Lambeth,27.25,12.2902,"317,600",3.61%,31.08,6.97,15.3,25.42,21351.4,20983.2,48928,17311.7,21179,10677.9,18598.8,23226.8,24286.8,28937.8
E09000023,Lewisham,35.32,8.2385,"300,600",3.42%,28.88,8.9,21,26.66,21959.3,22217.2,48333,19342,20378,13445.4,17636.2,21786.7,27807.6,26197
E09000024,Merton,37.62,5.3348,"215,200",2.45%,26.06,13.71,17.4,14.65,12224.6,14087,20586,10933.5,8321.8,9047.2,9260.8,15738.5,17907.6,23193.2
E09000025,Newham,38.58,10.0368,"351,100",3.99%,5.21,9.13,23.2,29.58,24138.7,23168,56769,17778.8,20831.8,17121.4,16231.9,22834.5,32336.6,24540.7
E09000026,Redbridge,56.44,6.022,"310,300",3.53%,24.35,14.11,28.5,17.2,15082.6,17685.5,35863,13372.1,13017.3,11277.8,7444.1,20354.9,23376.2,20635.3
E09000027,Richmond upon Thames,58.76,3.6036,"195,200",2.22%,15.77,17.23,21.7,9.43,7159.2,8767.3,12371,7627.3,5816,3528.7,3290.6,15404.3,12828.8,21705.8
E09000028,Southwark,29.91,11.2675,"307,700",3.50%,24.15,4.65,18.4,25.81,21247.4,21355,49900,17890.9,20959.5,11263.6,18240.1,22487.7,26853.8,26080
E09000029,Sutton,43.85,4.4027,"209,600",2.38%,63.9,17.95,17.6,13.99,11415.3,13312,18870,12008.2,8299.3,11318.2,9551.5,14074.4,18566.7,17857.3
E09000030,Tower Hamlets,21.58,16.0195,"310,300",3.53%,10.6,4.01,22.9,27.91,22507.1,23902.9,56191,18064.2,20889.5,15428,19333.3,22835.7,25818.1,24554.1
E09000031,Waltham Forest,38.81,8.2082,"278,400",3.16%,28.11,10.44,18.7,25.21,21186.6,21174.6,41052,17533.2,16108,16218.9,14437.3,21961.7,28669.3,25529.8
E09000032,Wandsworth,35.22,10.3859,"327,500",3.72%,28.64,9.52,15.1,16.61,14312.2,15134.7,33856,11027.8,14180,6838,11755.8,17975.9,22221.2,24522.8
E09000033,Westminster,22.03,12.099,"204,300",2.32%,24.4,4.72,22.9,20.34,16573.8,16667.5,32018,14096.2,14187.5,8630.1,9103.6,17774.9,19435.9,27971.7
